기간	자치구	동	합계	합계	20대 이하(29세 이하)	20대 이하(29세 이하)	30대(30~39세)	30대(30~39세)	40대(40~49세)	40대(40~49세)	50대(50~59세)	50대(50~59세)	60대 이상(60세 이상)	60대 이상(60세 이상)
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2019	서대문구	홍은2동	1,219	5,414	37	75	208	441	297	848	399	1,877	278	2,173
2019	서대문구	남가좌1동	691	2,204	20	54	102	224	177	646	211	770	181	510
2019	서대문구	남가좌2동	1,310	5,271	32	57	193	419	346	1,347	444	1,498	295	1,950
2019	서대문구	북가좌1동	681	3,173	19	59	121	258	184	664	229	1,437	128	755
2019	서대문구	북가좌2동	2,443	6,752	44	77	472	734	578	2,452	860	2,236	489	1,253
2019	서대문구	충현동	1,817	24,246	39	315	208	586	399	3,191	686	13,838	485	6,316
2019	서대문구	북아현동	862	2,420	25	44	122	243	230	615	291	1,083	194	435
2019	서대문구	신촌동	3,901	37,647	239	789	898	3,342	1,104	5,732	977	8,305	683	19,479
2019	서대문구	연희동	2,352	10,752	98	188	410	972	608	2,190	690	3,789	546	3,613
2019	마포구	소계	37,290	247,276	1,507	3,988	7,290	24,392	10,869	59,929	10,533	103,194	7,091	55,773
2019	마포구	용강동	2,566	18,813	36	128	323	1,171	743	4,894	878	7,825	586	4,795
2019	마포구	대흥동	1,571	10,097	58	174	242	753	459	2,572	465	3,428	347	3,170
2019	마포구	염리동	726	4,383	27	57	134	438	166	685	227	1,763	172	1,440
2019	마포구	신수동	1,209	5,549	47	83	195	393	316	1,076	351	2,477	300	1,520
2019	마포구	서교동	9,552	57,173	519	1,672	2,387	9,650	3,116	17,164	2,245	18,570	1,285	10,117
2019	마포구	합정동	2,397	11,154	132	267	626	1,808	696	3,107	540	4,181	403	1,791
2019	마포구	망원1동	1,899	5,293	81	166	412	973	451	1,528	506	1,661	449	965
2019	마포구	망원2동	1,348	4,505	35	75	239	511	344	1,336	457	1,780	273	803
2019	마포구	연남동	1,915	6,911	162	372	609	1,645	542	2,198	357	1,652	245	1,044
2019	마포구	성산1동	1,534	11,155	46	106	246	808	450	2,021	451	3,996	341	4,224
2019	마포구	성산2동	1,757	11,682	38	82	202	392	428	1,656	657	7,345	432	2,207
2019	마포구	상암동	2,531	41,880	76	211	473	2,267	845	7,060	796	23,165	341	9,177
2019	마포구	도화동	2,082	16,774	50	158	252	836	586	3,711	658	8,055	536	4,014
2019	마포구	서강동	1,828	12,774	115	248	459	1,423	567	3,564	437	2,839	250	4,700
2019	마포구	공덕동	2,756	18,197	55	106	308	764	714	4,935	961	9,557	718	2,835
2019	마포구	아현동	1,619	10,936	30	83	183	560	446	2,422	547	4,900	413	2,971
2019	양천구	소계	25,894	121,582	580	1,484	3,242	9,175	6,156	26,079	9,634	56,592	6,282	28,252
2019	양천구	목1동	2,872	21,666	74	257	426	1,873	911	5,546	978	10,210	483	3,780
2019	양천구	목2동	1,196	4,523	38	69	167	420	271	1,159	419	1,710	301	1,165
2019	양천구	목3동	1,282	4,740	34	81	190	491	303	1,137	433	1,786	322	1,245
2019	양천구	목4동	1,347	3,945	40	81	177	412	303	868	513	1,617	314	967
2019	양천구	신월1동	1,765	5,183	39	123	189	490	381	1,209	700	2,263	456	1,098
