기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적
기간	자치구	동	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적
2019	성북구	월곡1동	1	686	746	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	686	746
2019	성북구	월곡2동	2	25,086	143,247	1	25,006	143,147	-	-	-	-	-	-	-	-	-	-	-	-	1	80	100
2019	성북구	성북동	1	544	544	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	544	544
2019	성북구	삼선동	2	888	1,099	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	888	1,099
2019	성북구	동선동	1	6,473	26,488	-	-	-	-	-	-	-	-	-	-	-	-	1	6,473	26,488	-	-	-
2019	강북구	소계	12	80,994	179,010	1	8,319	19,709	1	45,651	73,173	-	-	-	2	7,925	37,900	-	-	-	8	19,099	48,228
2019	강북구	번1동	1	1,959	2,904	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,959	2,904
2019	강북구	수유1동	2	7,239	17,712	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	7,239	17,712
2019	강북구	수유2동	1	1,061	2,122	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,061	2,122
2019	강북구	수유3동	1	2,513	4,440	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,513	4,440
