기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀(출생)
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀(출생)
2019	노원구	상계9동	225	126	***	54	***	15	49	24	75
2019	노원구	상계10동	129	98	8	22	9	22	37	13	18
2019	노원구	상계3.4동	342	205	14	62	***	40	86	65	72
2019	노원구	상계6.7동	356	246	35	47	32	48	84	42	68
2019	노원구	중계2.3동	386	233	22	83	6	29	93	57	96
2019	노원구	공릉1동	851	653	71	86	183	94	219	87	111
2019	은평구	계	9,501	6,390	721	1,282	304	1,330	2,753	1,396	1,715
2019	은평구	녹번동	824	568	81	121	22	101	243	125	131
2019	은평구	불광1동	727	486	49	99	17	124	197	107	134
2019	은평구	갈현1동	477	346	75	72	6	70	123	66	65
2019	은평구	갈현2동	735	518	50	82	7	93	286	110	107
2019	은평구	구산동	556	337	30	69	18	52	168	90	129
2019	은평구	대조동	786	568	70	80	30	158	230	118	100
2019	은평구	응암1동	580	375	74	51	34	70	146	98	107
2019	은평구	응암2동	487	298	20	77	6	42	153	75	114
2019	은평구	신사1동	506	327	20	81	25	49	152	72	107
2019	은평구	신사2동	331	227	29	42	8	55	93	36	68
2019	은평구	증산동	255	180	18	43	15	24	80	33	42
2019	은평구	수색동	163	124	7	21	***	21	74	11	28
2019	은평구	진관동	662	443	40	94	8	126	175	66	153
2019	은평구	불광2동	701	467	61	102	10	135	159	122	112
2019	은평구	응암3동	729	514	44	109	60	73	228	93	122
2019	은평구	역촌동	982	612	53	139	37	137	246	174	196
2019	서대문구	계	18,179	16,319	1,115	909	6,051	1,271	6,973	858	1,002
2019	서대문구	천연동	485	400	86	43	47	78	146	32	53
2019	서대문구	홍제1동	480	353	27	53	10	69	194	58	69
