기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2019	노원구	상계1동	973	-	1,409	836	1,162	130	240	7	7	-	-
2019	노원구	상계2동	600	-	811	480	627	105	166	15	18	-	-
2019	노원구	상계5동	1,005	-	1,525	794	1,143	189	355	22	27	-	-
2019	노원구	상계8동	167	-	265	144	214	23	51	-	-	-	-
2019	노원구	상계9동	222	-	349	193	283	26	62	3	4	-	-
2019	노원구	상계10동	194	-	316	165	263	27	51	2	2	-	-
2019	노원구	상계3.4동	1,585	-	2,174	1,317	1,697	253	458	15	19	-	-
2019	노원구	상계6.7동	496	-	877	392	652	103	224	1	1	-	-
2019	노원구	중계2.3동	2,870	-	4,399	2,397	3,425	450	944	23	30	-	-
2019	노원구	공릉1동	1,465	-	1,995	1,297	1,704	150	266	18	25	-	-
2019	노원구	기타	52	36	765	51	46	1	3	-	-	36	716
2019	은평구	소계	13,111	36	20,788	11,014	15,244	1,736	3,284	361	463	36	1,797
2019	은평구	녹번동	908	-	1,198	791	1,026	92	144	25	28	-	-
2019	은평구	불광1동	1,074	-	1,448	887	1,152	139	235	48	61	-	-
2019	은평구	갈현1동	1,087	-	1,646	878	1,261	181	347	28	38	-	-
2019	은평구	갈현2동	821	-	1,284	657	972	151	294	13	18	-	-
2019	은평구	구산동	862	-	1,262	735	1,020	108	219	19	23	-	-
2019	은평구	대조동	924	-	1,289	802	1,108	107	165	15	16	-	-
2019	은평구	응암1동	595	-	869	519	728	64	126	12	15	-	-
2019	은평구	응암2동	582	-	836	486	655	79	161	17	20	-	-
2019	은평구	신사1동	555	-	830	471	669	64	132	20	29	-	-
2019	은평구	신사2동	658	-	1,075	529	769	116	289	13	17	-	-
2019	은평구	증산동	363	-	549	315	458	42	82	6	9	-	-
2019	은평구	수색동	344	-	446	302	377	35	63	7	6	-	-
2019	은평구	진관동	695	-	1,135	608	967	66	139	21	29	-	-
2019	은평구	불광2동	1,337	-	1,838	1,113	1,466	188	321	36	51	-	-
2019	은평구	응암3동	1,041	-	1,491	831	1,102	151	314	59	75	-	-
2019	은평구	역촌동	1,225	-	1,755	1,050	1,474	153	253	22	28	-	-
2019	은평구	기타	40	36	1,837	40	40	-	-	-	-	36	1,797
2019	서대문구	소계	6,574	23	9,224	5,716	7,304	741	1,246	117	145	23	529
2019	서대문구	천연동	540	-	612	484	540	45	60	11	12	-	-
2019	서대문구	홍제1동	417	-	575	368	490	44	79	5	6	-	-
2019	서대문구	홍제3동	418	-	544	353	459	54	72	11	13	-	-
2019	서대문구	홍제2동	322	-	412	280	342	35	63	7	7	-	-
2019	서대문구	홍은1동	526	-	690	462	598	58	86	6	6	-	-
2019	서대문구	홍은2동	663	-	986	555	793	98	181	10	12	-	-
2019	서대문구	남가좌1동	172	-	224	151	190	17	27	4	7	-	-
2019	서대문구	남가좌2동	696	-	925	602	759	72	131	22	35	-	-
2019	서대문구	북가좌1동	260	-	386	220	302	36	79	4	5	-	-
2019	서대문구	북가좌2동	804	-	1,156	704	961	88	183	12	12	-	-
2019	서대문구	충현동	385	-	483	338	416	35	52	12	15	-	-
2019	서대문구	북아현동	373	-	468	319	390	49	73	5	5	-	-
2019	서대문구	신촌동	458	-	502	417	454	38	44	3	4	-	-
2019	서대문구	연희동	530	-	722	453	600	72	116	5	6	-	-
2019	서대문구	기타	10	23	539	10	10	-	-	-	-	23	529
2019	마포구	소계	6,178	13	8,891	5,036	6,702	1,050	1,803	92	124	13	262
2019	마포구	용강동	269	-	353	235	298	33	54	1	1	-	-
2019	마포구	대흥동	300	-	359	257	302	40	53	3	4	-	-
2019	마포구	염리동	246	-	310	188	225	54	82	4	3	-	-
2019	마포구	신수동	220	-	292	162	204	55	82	3	6	-	-
2019	마포구	서교동	238	-	312	181	227	52	79	5	6	-	-
2019	마포구	합정동	313	-	409	254	317	55	87	4	5	-	-
2019	마포구	망원1동	464	-	646	356	465	101	173	7	8	-	-
2019	마포구	망원2동	319	-	469	274	378	42	87	3	4	-	-
2019	마포구	연남동	178	-	214	142	163	32	48	4	3	-	-
2019	마포구	성산1동	356	-	521	273	377	71	126	12	18	-	-
2019	마포구	성산2동	1,267	-	1,932	1,061	1,530	195	379	11	23	-	-
2019	마포구	상암동	469	-	840	375	636	85	195	9	9	-	-
2019	마포구	도화동	357	-	457	316	391	40	65	1	1	-	-
2019	마포구	서강동	178	-	215	145	173	29	39	4	3	-	-
2019	마포구	공덕동	710	-	911	578	711	120	182	12	18	-	-
2019	마포구	아현동	274	-	368	219	284	46	72	9	12	-	-
2019	마포구	기타	20	13	283	20	21	-	-	-	-	13	262
