기간,자치구,종류별,합계,합계,직장(근로자),직장(근로자),공무원·교직원,공무원·교직원,지역,지역
기간,자치구,종류별,건수,금액,건수,금액,건수,금액,건수,금액
2017,용산구,외래,"3,567,436","87,482,806","2,265,542","54,536,969","242,763","5,727,447","1,059,131","27,218,390"
2017,용산구,약국,"1,871,676","45,763,919","1,201,598","27,955,515","122,269","2,854,385","547,809","14,954,019"
2017,성동구,소계,"8,084,736","287,560,208","5,446,544","182,523,077","425,060","15,672,524","2,213,132","89,364,608"
2017,성동구,입원,"73,016","105,622,978","45,678","63,503,202","4,031","5,940,854","23,307","36,178,923"
2017,성동구,외래,"5,189,270","119,121,709","3,482,344","78,751,622","277,202","6,426,108","1,429,724","33,943,979"
2017,성동구,약국,"2,822,450","62,815,521","1,918,522","40,268,253","143,827","3,305,562","760,101","19,241,706"
2017,광진구,소계,"9,252,440","316,416,831","6,140,311","199,216,560","494,531","16,872,850","2,617,598","100,327,421"
2017,광진구,입원,"72,544","108,995,691","44,428","65,368,723","4,240","6,206,049","23,876","37,420,919"
2017,광진구,외래,"5,899,901","138,037,601","3,903,498","89,550,966","321,518","7,141,728","1,674,885","41,344,907"
2017,광진구,약국,"3,279,995","69,383,539","2,192,385","44,296,871","168,773","3,525,074","918,837","21,561,595"
2017,동대문구,소계,"9,228,285","339,479,686","5,910,886","204,787,411","491,424","19,017,480","2,825,975","115,674,795"
2017,동대문구,입원,"89,547","128,386,290","53,166","73,549,593","5,373","7,827,151","31,008","47,009,546"
2017,동대문구,외래,"5,894,370","135,606,468","3,765,131","84,771,942","319,671","7,324,987","1,809,568","43,509,538"
2017,동대문구,약국,"3,244,368","75,486,928","2,092,589","46,465,875","166,380","3,865,342","985,399","25,155,711"
2017,중랑구,소계,"11,272,165","405,537,340","7,268,139","249,177,004","519,954","19,764,970","3,484,072","136,595,366"
2017,중랑구,입원,"107,883","151,192,871","65,086","88,716,001","5,291","7,767,516","37,506","54,709,353"
2017,중랑구,외래,"7,109,448","165,795,573","4,575,028","105,139,426","332,465","7,885,114","2,201,955","52,771,033"
2017,중랑구,약국,"4,054,834","88,548,896","2,628,025","55,321,577","182,198","4,112,340","1,244,611","29,114,979"
